id_loker,pulau,provinsi,kota,job_position,skills_to_have,pendidikan,company_name,job_category,job_salary,job_type,platform
987,Jawa,DKI Jakarta,Jakarta,Mobile Developer,"Redux, JavaScript, react.js & react native, Flux, Mobx, Mocha, Jest, Amazon Web Services (AWS)",tidak dicantumkan,XCIDIC,Software Engineering,"IDR 6,000,000-10,000,000 / month",FULL_TIME,glints
988,Jawa,DKI Jakarta,Jakarta,Legal Officer,"Legal Documents, Legal Corporate, Legal Opinion, Visa Arrangement, Legal Advice, Company Set-up, Legal Research, Legal Drafting, Company Permit",s1,Adminkita.com,Legal,"IDR 3,500,000-4,500,000 / month",FULL_TIME,glints
989,Jawa,Jawa Timur,Surabaya,Sales Executive,"Sales And Marketing, Sales Management, Direct Sales, Salesforce, Sales Operations, Sales, Sales Presentations, Retail Sales, Sales Marketing, B2b Sales",s1,Wall Street English,Business Development / Sales,"IDR 4,299,999-4,300,000 / month",FULL_TIME,glints
990,Jawa,DKI Jakarta,Jakarta,Legal Officer,"Contract Drafting, Corporate Law, Contract Law, Business Law, Legal contract drafting, Contract Review",tidak dicantumkan,PT Cerdas Digital Nusantara (CAKAP),Legal,"IDR 0-6,000,000 / month",FULL_TIME,glints
991,Jawa,DKI Jakarta,Jakarta,Head Of Financial,"Corporate Finance, Finance, Financial Analysis, Financial Planning, Financial Reporting",tidak dicantumkan,TNP Group,Finance,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
992,Papua,Papua,Abepura,Hello,"CSS, Business Analyst, Sasss",tidak dicantumkan,Test Company 1,Business Development / Sales,Perusahaan tidak menampilkan gaji,INTERNSHIP,glints
993,Jawa,Jawa Barat,Bandung,Business Development,"Teamwork, Good Communication Skills, Administration, Marketing, Microsoft Excel",tidak dicantumkan,Pt. Inovasi Dinamika Solusi,Business Development / Sales,"IDR 10,000,000-100,000,000 / year",FULL_TIME,glints
994,Jawa,DKI Jakarta,Jakarta,Ui/Ux Designer,"service design, Design Mobile Products, Web Design, Design Thinking, User Research",tidak dicantumkan,OKHOME,Design,"IDR 8,000,000-20,000,000 / month",FULL_TIME,glints
995,Jawa,DKI Jakarta,Jakarta,It Support,"Jaringan Komputer, Routing & Switching, network troubleshooting, Troubleshooting, Hardware Troubleshooting",s1,UangMe Fintek Indonesia,Operations,"IDR 5,000,000-6,800,000 / month",FULL_TIME,glints
996,Jawa,DKI Jakarta,Jakarta,Fullstack Developer,"Node.js, React Native, Java, Ruby on Rails",tidak dicantumkan,PT Code Development Indonesia,Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
