id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan,jumlah_loker_per_provinsi
54,Jawa,Jawa Timur,Field Collection Ngawi,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
55,Jawa,Jawa Timur,Marketing Freelance,PT. PRAMBANAN BIZLAND INDONESIA,2,0 - 4 tahun,14,Properti/Real Estate,1- 50 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum","Indonesia, Inggris",jobstreet,"D3, S1",1296
56,Jawa,Daerah Khusus Ibukota Jakarta,Mobile Application Developer,PT Infogram Telemedia,3,0 - 4 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,"S1, D3",5985
57,Jawa,Daerah Khusus Ibukota Jakarta,Programmer,Breef Studio,1,0 - 4 tahun,10,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1- 50 pekerja,senin - jumat,kasual,kaos,kesehatan,Indonesia,jobstreet,"S1, D3",5985
58,Jawa,Jawa Timur,Field Collection Ponorogo,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
59,Nusa Tenggara,Nusa Tenggara Barat,Coordinator Security,PT Syntek Otomasi Indonesia,8,5 - 9 tahun,8,Konstruksi/Bangunan/Teknik,1- 50 pekerja,senin - jumat,semi formal,kemeja motif,"kesehatan, umum",Indonesia,jobstreet,"D3, SMA",37
60,Jawa,Daerah Khusus Ibukota Jakarta,Dba Oracle,"PT. Metrodata Electronics, Tbk",2,0 - 4 tahun,14,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
61,Jawa,Banten,It Developer,Dexa Group,1,0 - 4 tahun,14,BioTeknologi/Farmasi/Riset klinik,2001 - 5000 pekerja,senin - sabtu,seragam,seragam kantor/lapangan,"kesehatan, umum, pendidikan, kacamata",Indonesia,jobstreet,TIDAK DICANTUMKAN,1219
62,Jawa,Banten,Sap Business One Developer,PT Hilon Indonesia,2,0 - 4 tahun,14,Manufaktur/Produksi,501 - 1000 pekerja,tidak spesifik,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,1219
63,Jawa,Banten,Java Developer,PT Hilon Indonesia,5,5 - 9 tahun,14,Manufaktur/Produksi,501 - 1000 pekerja,tidak spesifik,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,1219
64,Jawa,Daerah Khusus Ibukota Jakarta,Ccie Data Center,PT. Lintas Teknologi Indonesia,3,0 - 4 tahun,14,Telekomunikasi,201 - 500 pekerja,fleksibel,kasual,kaos,"kesehatan, umum, kacamata",Inggris,jobstreet,D3,5985
65,Jawa,Daerah Khusus Ibukota Jakarta,Scrum Master,PT Avows Technologies,1,0 - 4 tahun,13,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",51 - 200 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum",Inggris,jobstreet,S2,5985
66,Jawa,Daerah Khusus Ibukota Jakarta,Front End Developer,PT E2pay Global Utama,2,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,51 - 200 pekerja,senin - jumat,kasual,kaos,"kesehatan, umum, makan",Inggris,jobstreet,S1,5985
67,Jawa,Daerah Khusus Ibukota Jakarta,Salesman General Trade,Perusahaan Dirahasiakan,2,0 - 4 tahun,tidak tersedia,tidak tersedia,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,SMA,5985
68,Jawa,Banten,"C#, .Net Developer",PT Hilon Indonesia,2,0 - 4 tahun,14,Manufaktur/Produksi,501 - 1000 pekerja,tidak spesifik,bisnis,kemeja,kesehatan,Indonesia,jobstreet,S1,1219
69,Jawa,Jawa Timur,Field Collection Tuban,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1296
70,Jawa,Banten,Developer,PT Visionet Data Internasional,1,0 - 4 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),1001 - 2000 pekerja,senin - jumat,formal,kemeja polos & dasi,kesehatan,"Indonesia, Inggris",jobstreet,TIDAK DICANTUMKAN,1219
71,Jawa,Jawa Timur,Design Grafis Percetakan,Perusahaan Dirahasiakan,2,0 - 4 tahun,tidak tersedia,tidak tersedia,tidak spesifik,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,Tidak Dicantumkan,jobstreet,S1,1296
72,Jawa,Daerah Khusus Ibukota Jakarta,Senior Transfer Pricing,Mazars,3,0 - 4 tahun,14,Akuntansi/Audit/Pelayanan Pajak,51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Inggris,jobstreet,TIDAK DICANTUMKAN,5985
73,Jawa,Banten,Fashion Designer,PT FATAHILLAH ANUGERAH NIBRAS,2,0 - 4 tahun,14,Retail/Merchandise,51 - 200 pekerja,senin - sabtu,bisnis,kemeja,"kesehatan, bpjs kesehatan",Indonesia,jobstreet,TIDAK DICANTUMKAN,1219
74,Jawa,Daerah Khusus Ibukota Jakarta,Database Oracle Consultant,PT IFS Solusi Integrasi,3,0 - 4 tahun,14,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",51 - 200 pekerja,senin - jumat,kasual,kaos,kesehatan,Indonesia,jobstreet,S1,5985
75,Jawa,Daerah Khusus Ibukota Jakarta,Finance Consultant Apprentice,PT Sinergi Cipta Ananta,2,0 - 4 tahun,13,Asuransi,51 - 200 pekerja,senin - jumat,bisnis,kemeja,umum,Indonesia,jobstreet,D3,5985
76,Jawa,Daerah Khusus Ibukota Jakarta,Icu General Practitioner,RS Premier Jatinegara,2,0 - 4 tahun,5,Kesehatan/Medis,501 - 1000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata",Indonesia,jobstreet,S1,5985
77,Sumatera,Riau,Field Collection Dumai,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",86
78,Jawa,Daerah Khusus Ibukota Jakarta,React Native Developer,PT Vanz Inovatif Teknologi,2,0 - 4 tahun,3,Komputer/Teknik Informatika (Perangkat Lunak),1- 50 pekerja,senin - jumat,kasual,kaos,"umum, tidak tersedia",Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
79,Nusa Tenggara,Nusa Tenggara Timur,Coordinator Collector Cabang Kupang,PT Finansia Multi Finance (Kredit Plus),3,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, kacamata",Indonesia,jobstreet,TIDAK DICANTUMKAN,18
80,Jawa,Jawa Barat,Field Collection Sumedang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1771
